"nuvirdi";"teg_eign";"matssvaedi";"ibm2"
11819;"Íbúðareign";220;52.7
25315;"Íbúðareign";90;74.5
21391;"Íbúðareign";100;82.2
26451;"Íbúðareign";120;103.6
15412;"Íbúðareign";72;50.4
18644;"Íbúðareign";11;68.2
12171;"Íbúðareign";20;44.9
22854;"Íbúðareign";130;96.2
29974;"Íbúðareign";80;103.2
11990;"Íbúðareign";80;31.2
15785;"Íbúðareign";160;74.6
23339;"Íbúðareign";200;115.1
16000;"Íbúðareign";90;76.5
25824;"Íbúðareign";130;97.6
12870;"Íbúðareign";160;50.6
23899;"Íbúðareign";80;113.6
8562;"Íbúðareign";11;33.6
18060;"Íbúðareign";220;81.5
18222;"Íbúðareign";20;48.7
20750;"Íbúðareign";120;88.4
17631;"Íbúðareign";25;57.3
21711;"Íbúðareign";20;65.5
23493;"Íbúðareign";130;94.2
18917;"Íbúðareign";100;79.4
18800;"Íbúðareign";90;63.4
20744;"Íbúðareign";180;82.4
40158;"Einbýlishús";120;138.8
44153;"Íbúðareign";90;134.1
31838;"Íbúðareign";80;110.3
15900;"Íbúðareign";160;59.5
18500;"Íbúðareign";100;73.4
27048;"Íbúðareign";20;108.4
17600;"Íbúðareign";200;84.6
15468;"Íbúðareign";100;47.7
10996;"Íbúðareign";160;56.4
19193;"Íbúðareign";70;80
31902;"Íbúðareign";280;123.2
62889;"Einbýlishús";270;161.7
36540;"Íbúðareign";80;121.2
15400;"Íbúðareign";90;45.9
16780;"Íbúðareign";180;66.3
17090;"Íbúðareign";91;67.8
25500;"Íbúðareign";281;77.5
37716;"Íbúðareign";20;112.7
17889;"Íbúðareign";100;102.9
18855;"Íbúðareign";120;82.3
20856;"Íbúðareign";283;91.4
19993;"Íbúðareign";200;100.7
16261;"Íbúðareign";100;79.5
28833;"Íbúðareign";180;113.6
16458;"Íbúðareign";91;67.9
22282;"Íbúðareign";91;103.7
48626;"Einbýlishús";120;159.8
27092;"Íbúðareign";210;107.6
40841;"Íbúðareign";31;126.9
21344;"Íbúðareign";283;93.7
29300;"Íbúðareign";70;85.6
28438;"Íbúðareign";20;87.1
16198;"Íbúðareign";120;61.2
37929;"Íbúðareign";25;100.3
33940;"Einbýlishús";20;99.6
21764;"Íbúðareign";220;76.2
21884;"Íbúðareign";180;78.2
27616;"Íbúðareign";180;119.1
35971;"Íbúðareign";100;157.2
31188;"Íbúðareign";100;94.4
18937;"Íbúðareign";11;43.7
17195;"Íbúðareign";100;52
15945;"Íbúðareign";72;55.1
34463;"Íbúðareign";100;145.2
35484;"Íbúðareign";72;132.4
27707;"Íbúðareign";270;117.6
26914;"Íbúðareign";110;105.7
26255;"Íbúðareign";100;71.3
31382;"Íbúðareign";72;114
34950;"Íbúðareign";270;127.5
12831;"Íbúðareign";170;75.5
23185;"Íbúðareign";130;101.9
40930;"Íbúðareign";20;108.4
13873;"Íbúðareign";100;59.1
14531;"Íbúðareign";170;66.4
26187;"Íbúðareign";120;121.3
34000;"Íbúðareign";25;102
14292;"Íbúðareign";160;57.7
20479;"Íbúðareign";20;64.4
16417;"Íbúðareign";20;70.4
28980;"Íbúðareign";270;117.6
19826;"Íbúðareign";70;70.8
17250;"Íbúðareign";80;78.7
26103;"Íbúðareign";120;117.3
28462;"Íbúðareign";270;107.1
12282;"Íbúðareign";100;48
16284;"Íbúðareign";170;91.1
10200;"Íbúðareign";100;41.5
19416;"Íbúðareign";90;62.3
22500;"Íbúðareign";90;103.3
35204;"Íbúðareign";280;113.8
24893;"Íbúðareign";110;95.1
12938;"Íbúðareign";25;39.4
36558;"Einbýlishús";281;137.7
17340;"Íbúðareign";160;75.1
17981;"Íbúðareign";130;77.7
23915;"Íbúðareign";70;96.1
19000;"Íbúðareign";91;102.6
15886;"Íbúðareign";110;55.5
18909;"Íbúðareign";130;83.3
14853;"Íbúðareign";220;54
16896;"Íbúðareign";91;69.2
15900;"Íbúðareign";90;71.6
21000;"Íbúðareign";70;87.2
41697;"Íbúðareign";70;107.1
19271;"Íbúðareign";130;76.9
19552;"Íbúðareign";72;54.6
16640;"Íbúðareign";90;42.9
14581;"Íbúðareign";100;69.1
22567;"Íbúðareign";270;83.2
21972;"Íbúðareign";91;99.8
32332;"Íbúðareign";25;73.4
35103;"Íbúðareign";90;112.9
22850;"Íbúðareign";100;94.7
20983;"Íbúðareign";72;79.6
26527;"Íbúðareign";72;86.6
24051;"Íbúðareign";160;115.6
19498;"Íbúðareign";160;72
15600;"Íbúðareign";160;59.6
14993;"Íbúðareign";100;55.9
29387;"Íbúðareign";20;99.9
40479;"Einbýlishús";281;180.3
22188;"Íbúðareign";11;79.2
22242;"Íbúðareign";100;74
35236;"Íbúðareign";20;102.4
15191;"Íbúðareign";161;74.9
19859;"Íbúðareign";90;74
18367;"Íbúðareign";91;89.6
22240;"Íbúðareign";70;75.3
20969;"Íbúðareign";25;67.5
24398;"Íbúðareign";180;111.4
27500;"Íbúðareign";20;99
15860;"Íbúðareign";100;50
22919;"Íbúðareign";85;96.1
20974;"Íbúðareign";170;117.7
31900;"Íbúðareign";100;114
20286;"Íbúðareign";90;83.9
27596;"Íbúðareign";150;162.8
43057;"Íbúðareign";150;175.7
11973;"Íbúðareign";20;51.4
24924;"Íbúðareign";110;106.3
25996;"Íbúðareign";90;74.9
30323;"Íbúðareign";85;105.1
27763;"Íbúðareign";180;106
61554;"Einbýlishús";72;183.9
19757;"Íbúðareign";130;93.4
15314;"Íbúðareign";11;56.9
15493;"Íbúðareign";90;58.9
14623;"Íbúðareign";160;79.1
15741;"Íbúðareign";161;73.3
21949;"Íbúðareign";100;90.6
22125;"Íbúðareign";110;94.2
19900;"Einbýlishús";100;58.3
20844;"Íbúðareign";100;91.4
18016;"Íbúðareign";281;51.2
20362;"Íbúðareign";20;88.6
25453;"Íbúðareign";130;87
17493;"Íbúðareign";72;51.7
22916;"Íbúðareign";91;105.6
22360;"Íbúðareign";130;94.4
17272;"Íbúðareign";20;53.9
21300;"Íbúðareign";180;82.3
8818;"Íbúðareign";150;39.5
25736;"Íbúðareign";280;90.2
21472;"Íbúðareign";90;80.8
16026;"Íbúðareign";11;55.3
58085;"Íbúðareign";90;178.3
13479;"Íbúðareign";161;72.2
17915;"Íbúðareign";120;92.2
29186;"Íbúðareign";283;132.5
20973;"Íbúðareign";130;89.4
45946;"Íbúðareign";80;155
42464;"Einbýlishús";120;154
21163;"Íbúðareign";120;88.4
17669;"Íbúðareign";200;92
16475;"Íbúðareign";90;59.8
17965;"Íbúðareign";100;87.6
32231;"Íbúðareign";75;101.6
23888;"Íbúðareign";91;102.5
24698;"Íbúðareign";72;100.2
19190;"Íbúðareign";70;60.7
31156;"Íbúðareign";90;86
23956;"Íbúðareign";11;77.5
44539;"Íbúðareign";31;143.6
21840;"Íbúðareign";120;108.7
18794;"Íbúðareign";25;53.2
66173;"Einbýlishús";180;184.9
44682;"Íbúðareign";75;124.3
14596;"Íbúðareign";170;64.1
19133;"Íbúðareign";120;79.5
32640;"Íbúðareign";210;121.6
15548;"Íbúðareign";150;64.4
21496;"Íbúðareign";100;100.8
13190;"Íbúðareign";20;51.2
21848;"Íbúðareign";80;76.9
114789;"Einbýlishús";72;269.8
28160;"Íbúðareign";100;116.6
14807;"Íbúðareign";160;71.4
23120;"Íbúðareign";160;121.3
21173;"Íbúðareign";20;64
20586;"Íbúðareign";91;68.1
34789;"Íbúðareign";70;114.7
14213;"Íbúðareign";25;43.3
23472;"Íbúðareign";110;89.1
16985;"Íbúðareign";270;82
28175;"Íbúðareign";140;117.1
28460;"Íbúðareign";180;117.9
19698;"Íbúðareign";160;101.6
28486;"Íbúðareign";72;99.2
47320;"Íbúðareign";90;150
24176;"Íbúðareign";281;100.7
26394;"Íbúðareign";130;88.3
28726;"Íbúðareign";150;109.8
22482;"Íbúðareign";80;73.3
13911;"Íbúðareign";280;46.4
27932;"Íbúðareign";200;112.9
24573;"Íbúðareign";91;100.4
31663;"Íbúðareign";280;81.4
14492;"Íbúðareign";170;58.3
41313;"Íbúðareign";31;96.4
65808;"Einbýlishús";283;283.7
15795;"Íbúðareign";100;75.4
22744;"Íbúðareign";130;75.6
10998;"Íbúðareign";20;56.9
23193;"Íbúðareign";280;81.6
