"nuvirdi";"teg_eign";"matssvaedi";"ibm2"
24252;"Íbúðareign";11;72.3
83944;"Einbýlishús";270;241.6
21578;"Íbúðareign";90;69.9
20416;"Íbúðareign";80;79.4
29475;"Íbúðareign";120;94.7
25726;"Íbúðareign";280;89.7
17852;"Íbúðareign";25;44.1
20647;"Íbúðareign";90;69.9
8350;"Íbúðareign";20;26
19723;"Íbúðareign";91;89
57242;"Einbýlishús";200;260
17620;"Íbúðareign";90;53.2
29244;"Íbúðareign";180;107.2
16194;"Íbúðareign";160;101.7
14005;"Íbúðareign";100;59.7
23859;"Íbúðareign";90;73.5
22277;"Íbúðareign";280;81.9
23596;"Íbúðareign";140;108.9
21590;"Íbúðareign";180;79.8
14959;"Íbúðareign";220;70.1
24612;"Íbúðareign";120;99.3
21979;"Íbúðareign";90;76.3
14704;"Íbúðareign";90;56.4
26300;"Íbúðareign";90;64.2
16898;"Íbúðareign";20;52.4
22417;"Íbúðareign";280;62.7
19420;"Íbúðareign";80;76.6
20586;"Íbúðareign";90;84.8
16904;"Íbúðareign";161;86.4
9923;"Íbúðareign";100;31.4
17845;"Íbúðareign";70;56.6
18269;"Íbúðareign";130;67.7
26992;"Íbúðareign";130;110.7
34881;"Íbúðareign";70;64.5
28436;"Íbúðareign";11;99.5
22868;"Íbúðareign";20;78.9
28901;"Íbúðareign";130;116.4
13000;"Íbúðareign";170;51.8
16425;"Íbúðareign";20;46.7
23221;"Íbúðareign";160;124
18060;"Íbúðareign";160;89
16022;"Íbúðareign";20;47.5
18549;"Íbúðareign";150;90.4
30156;"Íbúðareign";283;128.8
35727;"Íbúðareign";72;126.2
30445;"Íbúðareign";20;69
23170;"Íbúðareign";120;95.6
20606;"Íbúðareign";130;88.3
23353;"Íbúðareign";90;55
20071;"Íbúðareign";72;81.5
25471;"Íbúðareign";100;75.6
22423;"Íbúðareign";72;69
14944;"Íbúðareign";100;50.1
17138;"Íbúðareign";280;73
15463;"Íbúðareign";80;26.9
18291;"Íbúðareign";20;69.9
16986;"Íbúðareign";100;73
28423;"Íbúðareign";284;75.8
17493;"Íbúðareign";72;53
19900;"Íbúðareign";70;67
16667;"Íbúðareign";283;77.7
19493;"Íbúðareign";130;86.6
19402;"Íbúðareign";170;88.7
18938;"Íbúðareign";130;84
23084;"Íbúðareign";180;87
18479;"Íbúðareign";90;57.2
20900;"Íbúðareign";150;97.1
20490;"Íbúðareign";130;83.3
17865;"Íbúðareign";160;100
21027;"Íbúðareign";90;84.8
27706;"Íbúðareign";140;107
15720;"Íbúðareign";220;82.8
16493;"Íbúðareign";72;55.7
18986;"Íbúðareign";90;71.3
15374;"Íbúðareign";120;62.5
15493;"Íbúðareign";100;69.5
14847;"Íbúðareign";100;47.6
37040;"Íbúðareign";100;122.4
16159;"Íbúðareign";72;58.2
21250;"Íbúðareign";91;67.9
15425;"Íbúðareign";90;79.2
32321;"Íbúðareign";20;87.8
11366;"Íbúðareign";161;57.7
26924;"Íbúðareign";90;79.5
22863;"Íbúðareign";72;70.5
24634;"Íbúðareign";130;130.2
23980;"Íbúðareign";200;125.9
48000;"Einbýlishús";20;197.6
28854;"Íbúðareign";120;117
16291;"Íbúðareign";160;84.6
17763;"Íbúðareign";270;60.1
22993;"Íbúðareign";130;111.1
14783;"Íbúðareign";160;72.6
24110;"Íbúðareign";90;63.6
12496;"Íbúðareign";220;54.8
33500;"Íbúðareign";100;90.4
24979;"Íbúðareign";283;93.3
30590;"Íbúðareign";180;110
23661;"Íbúðareign";90;89.3
24803;"Íbúðareign";20;86.2
28782;"Íbúðareign";20;74.2
13628;"Íbúðareign";20;54.8
38539;"Einbýlishús";160;147.5
19975;"Íbúðareign";20;71.2
20000;"Íbúðareign";72;62.7
19081;"Íbúðareign";150;101.7
17295;"Íbúðareign";160;79.1
22759;"Íbúðareign";100;71.3
83900;"Íbúðareign";20;165
24700;"Íbúðareign";72;86.6
20079;"Íbúðareign";100;96.1
23958;"Íbúðareign";20;75.2
17209;"Íbúðareign";90;75.9
24411;"Íbúðareign";80;86
18869;"Íbúðareign";20;55.6
19403;"Íbúðareign";90;60.7
24692;"Íbúðareign";20;78.5
23964;"Íbúðareign";72;79.3
16390;"Íbúðareign";100;64.7
17020;"Íbúðareign";120;58.6
27986;"Íbúðareign";100;98.2
19375;"Íbúðareign";130;83.3
79183;"Íbúðareign";20;128.8
29459;"Íbúðareign";100;101.2
15365;"Íbúðareign";72;55.1
18602;"Íbúðareign";80;59.8
25356;"Íbúðareign";180;115.3
23488;"Íbúðareign";70;90.7
25180;"Íbúðareign";181;89.4
26928;"Íbúðareign";270;100.2
28669;"Einbýlishús";290;134.3
14560;"Íbúðareign";90;43.9
18347;"Íbúðareign";100;77.3
22697;"Íbúðareign";100;99.8
27178;"Íbúðareign";100;105.6
29000;"Íbúðareign";72;108.9
25986;"Íbúðareign";11;109.8
28691;"Íbúðareign";25;93
9903;"Íbúðareign";11;27.9
21467;"Íbúðareign";130;83
15740;"Íbúðareign";20;42.6
24916;"Íbúðareign";120;100.3
18253;"Íbúðareign";180;76.9
25956;"Íbúðareign";270;118.5
31722;"Íbúðareign";90;107.7
38479;"Íbúðareign";100;122.8
15763;"Íbúðareign";120;60.4
17523;"Íbúðareign";130;86.6
22159;"Íbúðareign";91;72.9
20693;"Íbúðareign";20;62.8
35415;"Einbýlishús";170;140
18780;"Íbúðareign";25;68.2
19183;"Íbúðareign";20;64
16000;"Íbúðareign";100;62
15132;"Íbúðareign";130;62.3
13965;"Íbúðareign";160;58.5
33985;"Íbúðareign";100;109.4
12688;"Íbúðareign";100;41
31458;"Íbúðareign";120;112.4
12465;"Íbúðareign";161;52
25022;"Íbúðareign";170;89.9
18592;"Íbúðareign";150;95.6
21785;"Íbúðareign";110;80.7
32020;"Íbúðareign";150;90
23190;"Íbúðareign";100;97.5
31119;"Íbúðareign";150;167.4
22813;"Íbúðareign";80;83.2
43979;"Einbýlishús";130;140
16538;"Íbúðareign";20;53.4
22269;"Íbúðareign";20;72.3
11986;"Íbúðareign";150;58.8
21898;"Íbúðareign";100;59.4
17686;"Íbúðareign";170;88.6
37444;"Íbúðareign";85;143.5
17377;"Íbúðareign";180;66.3
22682;"Íbúðareign";100;69.3
24369;"Íbúðareign";72;92.7
15392;"Íbúðareign";280;54
24767;"Íbúðareign";20;96.1
20344;"Íbúðareign";100;92.4
21651;"Íbúðareign";180;80.5
17990;"Íbúðareign";100;67.4
33382;"Íbúðareign";80;120.5
22300;"Íbúðareign";281;81.2
15868;"Íbúðareign";161;72.2
17096;"Íbúðareign";72;66
15929;"Íbúðareign";161;77.6
20200;"Íbúðareign";80;83.7
17111;"Íbúðareign";110;60.6
40097;"Íbúðareign";90;112.9
49297;"Einbýlishús";281;172.5
27190;"Íbúðareign";130;98.9
21184;"Íbúðareign";160;97.4
17000;"Íbúðareign";100;57.7
91505;"Einbýlishús";280;191.8
22400;"Íbúðareign";280;79.4
46641;"Íbúðareign";90;132.7
15767;"Íbúðareign";90;48.2
14986;"Íbúðareign";170;95.3
18272;"Íbúðareign";91;60.5
20674;"Íbúðareign";160;97.4
26638;"Íbúðareign";90;109.6
35522;"Íbúðareign";20;111.1
18396;"Íbúðareign";130;88.3
15052;"Íbúðareign";161;72.2
23052;"Íbúðareign";140;93
16138;"Íbúðareign";160;75.6
26833;"Íbúðareign";210;115.1
24546;"Íbúðareign";120;140.3
20759;"Íbúðareign";90;90.2
11561;"Íbúðareign";161;57.7
14549;"Íbúðareign";100;47.7
75511;"Einbýlishús";280;284.8
20998;"Íbúðareign";100;83.2
23606;"Íbúðareign";90;88.5
32000;"Íbúðareign";20;87.1
13293;"Íbúðareign";161;72.2
18134;"Íbúðareign";100;76.2
27890;"Íbúðareign";90;84
21193;"Íbúðareign";120;90.4
11977;"Íbúðareign";100;47.9
17143;"Íbúðareign";11;70.1
32037;"Íbúðareign";90;103
34685;"Íbúðareign";80;110.2
22985;"Íbúðareign";80;76.9
19477;"Íbúðareign";100;76.1
18884;"Íbúðareign";161;93.1
30323;"Íbúðareign";80;109.9
24993;"Íbúðareign";72;92.9
15565;"Íbúðareign";72;53
22945;"Íbúðareign";220;108.5
32045;"Íbúðareign";90;99.9
18076;"Íbúðareign";170;90.2
16500;"Íbúðareign";72;71.6
18372;"Íbúðareign";130;60.1
27819;"Íbúðareign";80;85.9
26582;"Íbúðareign";80;106
26986;"Íbúðareign";72;70.9
13800;"Íbúðareign";200;59.9
20468;"Íbúðareign";80;72.7
15971;"Íbúðareign";160;98.8
22986;"Einbýlishús";20;81.4
22100;"Íbúðareign";130;94.4
14894;"Íbúðareign";160;54.6
39740;"Einbýlishús";75;51.8
23953;"Íbúðareign";72;78.3
30928;"Íbúðareign";110;78.6
33406;"Íbúðareign";180;122.1
25268;"Íbúðareign";280;92.1
32800;"Íbúðareign";100;169.3
22134;"Íbúðareign";120;86.7
13401;"Íbúðareign";170;63.9
20478;"Íbúðareign";220;82.7
12483;"Íbúðareign";161;52
15822;"Íbúðareign";90;81
26060;"Íbúðareign";100;123.2
15864;"Íbúðareign";161;74.9
30906;"Íbúðareign";270;117.7
102628;"Einbýlishús";25;220
33099;"Íbúðareign";20;85.9
56621;"Íbúðareign";75;173.7
24500;"Íbúðareign";11;79.1
29396;"Íbúðareign";20;69.4
28188;"Íbúðareign";90;131.8
19233;"Íbúðareign";100;68.1
23746;"Íbúðareign";280;92.6
22368;"Íbúðareign";90;64.9
26493;"Íbúðareign";20;64
9995;"Íbúðareign";20;26.3
23427;"Íbúðareign";91;105.5
30471;"Íbúðareign";80;126.8
29479;"Íbúðareign";25;135.4
32739;"Íbúðareign";72;102.2
25900;"Íbúðareign";72;92.9
12686;"Íbúðareign";170;53.1
28914;"Íbúðareign";100;79.1
52971;"Íbúðareign";90;165.9
24836;"Íbúðareign";270;88.8
20900;"Íbúðareign";20;62.5
27446;"Íbúðareign";281;85.3
24951;"Íbúðareign";85;88.6
22479;"Íbúðareign";72;79.5
23656;"Íbúðareign";20;74.3
17157;"Íbúðareign";100;70.4
49363;"Íbúðareign";20;104.2
29432;"Íbúðareign";80;103
20455;"Íbúðareign";20;55.4
18996;"Íbúðareign";100;58.2
9893;"Íbúðareign";160;40.9
16200;"Íbúðareign";160;79.9
16184;"Íbúðareign";80;78.4
13119;"Íbúðareign";220;53.6
25192;"Íbúðareign";31;86.6
29482;"Íbúðareign";270;117.7
25116;"Íbúðareign";180;106
23823;"Íbúðareign";270;89.2
28820;"Íbúðareign";20;90.8
20079;"Íbúðareign";90;67.5
26169;"Íbúðareign";140;101.7
18711;"Íbúðareign";150;100.2
23732;"Íbúðareign";180;82.6
21900;"Íbúðareign";85;88.7
18080;"Íbúðareign";150;64.4
14034;"Íbúðareign";11;51.2
18500;"Íbúðareign";100;52
19654;"Íbúðareign";90;58.2
16094;"Íbúðareign";200;80.5
16186;"Íbúðareign";72;51.4
12328;"Íbúðareign";200;49.4
27929;"Íbúðareign";180;120
34438;"Íbúðareign";270;127.5
22662;"Íbúðareign";72;79.7
22777;"Íbúðareign";283;99.2
15883;"Íbúðareign";161;72.2
30240;"Íbúðareign";180;106
47224;"Íbúðareign";180;147.2
17992;"Íbúðareign";180;73.8
13357;"Íbúðareign";70;40.6
19176;"Íbúðareign";220;82.8
41552;"Íbúðareign";20;111.2
15193;"Íbúðareign";150;74.2
18993;"Íbúðareign";100;72.2
21747;"Íbúðareign";25;60.2
10204;"Íbúðareign";20;25.8
21000;"Íbúðareign";72;67.3
17002;"Íbúðareign";20;39.5
23221;"Íbúðareign";90;97.9
21634;"Íbúðareign";72;76
12210;"Íbúðareign";90;39.7
14447;"Íbúðareign";220;53.6
20683;"Íbúðareign";91;69.2
21332;"Íbúðareign";130;95.9
24059;"Íbúðareign";140;93
17396;"Íbúðareign";120;67.6
14978;"Íbúðareign";160;53.7
18300;"Íbúðareign";80;81
17499;"Íbúðareign";200;84.1
32845;"Íbúðareign";100;97.5
27618;"Íbúðareign";75;100.1
16400;"Íbúðareign";100;60.4
13262;"Íbúðareign";220;52.8
27403;"Íbúðareign";91;100.9
21294;"Íbúðareign";180;76.5
14767;"Íbúðareign";220;65.6
21737;"Íbúðareign";20;49.7
29168;"Íbúðareign";270;108
19444;"Íbúðareign";100;85.3
17496;"Íbúðareign";100;92.7
17936;"Íbúðareign";130;60.1
16902;"Íbúðareign";130;69
20169;"Íbúðareign";90;63.1
10396;"Íbúðareign";161;35.8
26539;"Íbúðareign";20;87.1
19757;"Íbúðareign";90;60.7
19044;"Íbúðareign";91;69.4
15695;"Íbúðareign";170;64.1
30329;"Íbúðareign";130;116
26608;"Íbúðareign";70;85.8
22563;"Íbúðareign";200;93.3
46847;"Íbúðareign";100;156.5
19834;"Íbúðareign";100;71.2
24436;"Íbúðareign";180;87
30467;"Íbúðareign";80;101
28789;"Íbúðareign";110;118.6
43993;"Einbýlishús";130;142.8
27004;"Íbúðareign";20;60.8
45285;"Íbúðareign";70;115.6
20751;"Íbúðareign";130;83.3
14049;"Íbúðareign";160;57.9
44266;"Íbúðareign";25;158.4
15972;"Íbúðareign";72;48.7
21441;"Íbúðareign";100;94.6
15212;"Íbúðareign";72;44.2
27445;"Íbúðareign";90;110.6
40981;"Íbúðareign";100;115.4
35438;"Íbúðareign";100;116.8
19130;"Íbúðareign";72;70.5
23951;"Íbúðareign";180;87
31104;"Íbúðareign";270;127.5
32245;"Íbúðareign";72;110.1
26056;"Íbúðareign";100;83.5
18879;"Íbúðareign";25;56.3
22917;"Íbúðareign";100;100.9
17179;"Íbúðareign";220;65.6
14696;"Íbúðareign";200;61.5
36409;"Einbýlishús";130;129.4
16019;"Íbúðareign";90;65.9
18722;"Íbúðareign";150;101.7
23989;"Íbúðareign";100;85.1
23685;"Íbúðareign";284;95
27713;"Íbúðareign";160;85.4
32347;"Íbúðareign";160;85.5
29221;"Íbúðareign";160;85.5
31920;"Einbýlishús";100;78.8
19979;"Íbúðareign";130;92
59194;"Einbýlishús";210;181.4
16406;"Íbúðareign";281;72.2
21940;"Íbúðareign";91;99.8
36451;"Íbúðareign";100;131.8
47913;"Íbúðareign";72;137.1
23226;"Íbúðareign";280;79.7
19648;"Íbúðareign";170;91.3
31201;"Íbúðareign";283;134
21674;"Íbúðareign";20;56
13894;"Íbúðareign";200;58.1
28000;"Íbúðareign";130;126.2
18651;"Íbúðareign";130;60.1
15393;"Íbúðareign";161;72.2
26965;"Íbúðareign";140;85.4
22248;"Íbúðareign";70;78
32931;"Íbúðareign";100;123.8
19000;"Íbúðareign";72;67.8
25592;"Íbúðareign";90;69.9
26920;"Íbúðareign";11;74.4
60713;"Einbýlishús";120;183.4
15760;"Íbúðareign";200;84.8
29864;"Íbúðareign";31;87.6
29398;"Íbúðareign";180;119.1
20482;"Íbúðareign";130;79.3
69000;"Einbýlishús";280;144
12857;"Íbúðareign";25;39.5
20304;"Íbúðareign";120;92.4
31050;"Íbúðareign";160;85.5
24184;"Íbúðareign";160;61.5
20357;"Íbúðareign";130;83.2
15000;"Íbúðareign";90;47.8
23845;"Íbúðareign";130;90.1
15890;"Íbúðareign";100;57
28500;"Einbýlishús";20;100.1
29563;"Íbúðareign";72;109.7
22312;"Íbúðareign";90;86.6
19893;"Íbúðareign";90;60.6
17482;"Íbúðareign";25;48.9
27703;"Íbúðareign";130;107.1
28944;"Íbúðareign";20;94.3
20327;"Íbúðareign";20;88.6
18973;"Íbúðareign";25;56.4
16907;"Íbúðareign";284;57.9
33163;"Íbúðareign";283;126.8
15750;"Íbúðareign";200;54.7
13044;"Íbúðareign";161;74.9
16677;"Íbúðareign";20;40.7
17381;"Íbúðareign";110;65.3
25034;"Íbúðareign";20;98.9
25033;"Íbúðareign";283;93.5
28739;"Íbúðareign";160;85.5
27636;"Íbúðareign";150;104.5
15852;"Íbúðareign";281;56.6
14455;"Íbúðareign";160;59.2
18941;"Íbúðareign";72;82.7
19599;"Íbúðareign";180;54.8
17669;"Íbúðareign";72;65
25151;"Íbúðareign";130;111.1
26449;"Íbúðareign";130;97.7
51068;"Einbýlishús";20;180.9
24711;"Íbúðareign";130;94.6
20000;"Íbúðareign";90;63
17918;"Íbúðareign";200;91.5
26986;"Íbúðareign";91;105.3
18898;"Íbúðareign";72;65.1
44966;"Íbúðareign";160;112.9
35952;"Íbúðareign";160;104.8
25608;"Íbúðareign";281;89.5
11122;"Íbúðareign";161;48.1
15907;"Íbúðareign";20;33.7
48287;"Einbýlishús";130;152.4
18659;"Íbúðareign";72;72.7
30677;"Íbúðareign";160;83.9
22716;"Íbúðareign";80;106.5
16352;"Íbúðareign";130;57.7
28494;"Íbúðareign";270;118.5
24000;"Íbúðareign";70;75.3
27830;"Íbúðareign";281;113.1
21786;"Íbúðareign";90;73.4
19577;"Íbúðareign";180;66.3
15911;"Íbúðareign";25;49.2
45176;"Íbúðareign";120;158.8
29731;"Íbúðareign";11;118.1
30859;"Íbúðareign";270;106.5
25271;"Íbúðareign";283;94.9
14959;"Íbúðareign";120;65
18986;"Íbúðareign";130;80.4
31929;"Íbúðareign";85;119.4
24940;"Íbúðareign";90;94.9
24916;"Íbúðareign";270;87.2
13485;"Íbúðareign";200;55.6
24930;"Íbúðareign";72;86.6
23660;"Íbúðareign";90;93
60137;"Íbúðareign";20;119.3
22186;"Íbúðareign";200;103.3
40911;"Íbúðareign";80;116.5
24482;"Íbúðareign";100;90.2
23964;"Íbúðareign";180;78.8
30601;"Íbúðareign";100;106.5
24270;"Íbúðareign";100;101.4
12671;"Íbúðareign";220;52.7
27013;"Íbúðareign";283;109.4
20675;"Íbúðareign";130;78.6
29907;"Íbúðareign";180;120
17498;"Íbúðareign";20;57.9
50295;"Einbýlishús";150;188.8
35489;"Íbúðareign";90;113.3
16500;"Íbúðareign";90;48.5
17400;"Íbúðareign";72;54.7
17757;"Íbúðareign";220;95.2
13895;"Íbúðareign";160;59.1
22850;"Íbúðareign";100;85.2
28079;"Íbúðareign";130;112.3
23827;"Íbúðareign";31;75.9
21464;"Íbúðareign";100;69
25673;"Íbúðareign";70;82.6
32036;"Íbúðareign";280;78.9
21281;"Íbúðareign";25;82
19280;"Íbúðareign";100;83.7
16000;"Íbúðareign";80;109.1
51494;"Íbúðareign";283;125.4
18498;"Íbúðareign";100;76.3
14996;"Íbúðareign";90;50
23236;"Íbúðareign";100;71.9
29508;"Íbúðareign";150;124.2
21471;"Íbúðareign";160;97.4
12405;"Íbúðareign";11;50.5
12246;"Íbúðareign";170;45.3
28465;"Íbúðareign";70;84.7
29760;"Íbúðareign";11;86.2
14489;"Íbúðareign";160;55.3
18465;"Íbúðareign";72;62.7
15090;"Íbúðareign";170;65.2
15895;"Íbúðareign";161;74.9
22300;"Íbúðareign";160;100
25972;"Íbúðareign";130;100
34726;"Íbúðareign";20;105.7
16925;"Íbúðareign";150;94.5
29157;"Íbúðareign";180;120
43062;"Íbúðareign";80;131.1
29279;"Íbúðareign";120;97.1
63310;"Einbýlishús";72;190.5
18211;"Íbúðareign";25;44.1
28857;"Íbúðareign";130;115.7
20720;"Íbúðareign";100;85.5
43982;"Íbúðareign";120;155.4
19236;"Íbúðareign";91;105.5
18681;"Íbúðareign";200;74.9
13793;"Íbúðareign";200;53.5
19784;"Íbúðareign";100;97
28385;"Íbúðareign";72;96.9
32247;"Íbúðareign";270;116.6
19118;"Íbúðareign";20;55.8
31932;"Íbúðareign";160;144
22871;"Íbúðareign";20;78.5
9773;"Íbúðareign";160;63.6
20825;"Íbúðareign";130;72.2
15066;"Íbúðareign";161;73.3
19100;"Íbúðareign";72;66
51719;"Íbúðareign";20;119.3
31864;"Íbúðareign";20;108.4
25749;"Íbúðareign";283;93.7
19590;"Íbúðareign";161;107.1
26671;"Íbúðareign";120;111.2
20100;"Íbúðareign";75;57.7
12628;"Íbúðareign";100;55
15421;"Íbúðareign";90;61.6
17275;"Íbúðareign";280;55.7
16485;"Íbúðareign";150;85.8
39078;"Íbúðareign";90;104.5
24782;"Íbúðareign";283;81.7
19979;"Íbúðareign";100;58.7
46716;"Einbýlishús";180;134.5
16473;"Íbúðareign";170;64.1
13996;"Íbúðareign";100;47
60979;"Einbýlishús";80;326.9
25646;"Íbúðareign";72;94.1
27699;"Íbúðareign";72;106.4
16869;"Íbúðareign";72;52.9
59364;"Einbýlishús";180;213.9
15921;"Íbúðareign";160;74.4
16846;"Íbúðareign";160;58.6
19000;"Íbúðareign";150;68.6
23987;"Íbúðareign";72;81.3
53392;"Einbýlishús";20;204.2
16700;"Íbúðareign";200;86.3
33159;"Íbúðareign";70;92.2
25828;"Íbúðareign";20;85.8
28986;"Íbúðareign";20;88.9
26489;"Íbúðareign";180;109.6
40437;"Íbúðareign";72;113.6
20976;"Íbúðareign";130;89.2
27432;"Íbúðareign";270;102.1
29848;"Íbúðareign";72;115.9
18422;"Íbúðareign";284;65.8
16160;"Íbúðareign";150;68
18182;"Íbúðareign";25;71.7
19841;"Íbúðareign";180;83.8
15473;"Íbúðareign";72;46.1
14793;"Íbúðareign";90;69.1
27837;"Íbúðareign";90;99.7
19901;"Íbúðareign";100;83.1
28890;"Íbúðareign";72;114
21959;"Íbúðareign";75;94.8
35600;"Íbúðareign";110;177.3
36451;"Íbúðareign";100;131.7
12455;"Íbúðareign";161;50.7
19157;"Íbúðareign";90;68.9
16679;"Íbúðareign";20;42.6
26450;"Íbúðareign";270;102.1
15017;"Íbúðareign";90;50.7
14938;"Íbúðareign";120;50.6
32422;"Íbúðareign";20;73.9
6328;"Íbúðareign";80;17.7
16694;"Íbúðareign";100;50.1
27958;"Íbúðareign";20;108.3
40355;"Íbúðareign";85;132.7
32644;"Íbúðareign";90;106.7
21973;"Íbúðareign";90;60.7
35602;"Íbúðareign";90;114.8
66569;"Íbúðareign";100;213.9
22179;"Íbúðareign";11;66.6
19200;"Íbúðareign";200;86.9
17870;"Íbúðareign";100;73.2
11500;"Íbúðareign";150;61.2
67206;"Einbýlishús";283;290
19593;"Íbúðareign";200;96.7
15873;"Íbúðareign";170;62.5
25291;"Íbúðareign";90;81.3
31119;"Íbúðareign";160;83.9
45000;"Íbúðareign";160;112.7
12446;"Íbúðareign";161;50.7
15900;"Íbúðareign";20;50.6
34919;"Íbúðareign";284;151
24841;"Íbúðareign";91;100.3
25902;"Íbúðareign";280;98.5
40836;"Íbúðareign";80;121.2
37895;"Íbúðareign";270;130.7
23835;"Íbúðareign";91;101.1
16332;"Íbúðareign";150;82
23593;"Íbúðareign";100;83
15893;"Íbúðareign";150;86.8
18669;"Íbúðareign";90;82.6
25661;"Íbúðareign";180;94.7
43194;"Einbýlishús";283;187.3
14615;"Íbúðareign";170;65.2
35941;"Íbúðareign";280;124.1
21890;"Íbúðareign";20;73.1
16478;"Íbúðareign";80;62.9
26103;"Íbúðareign";90;74.5
20947;"Íbúðareign";20;63.4
20200;"Íbúðareign";150;92.2
14791;"Íbúðareign";100;37.4
31484;"Íbúðareign";120;133.6
19343;"Íbúðareign";210;76
28007;"Íbúðareign";150;89.4
14433;"Íbúðareign";91;59
19139;"Íbúðareign";130;90.7
16025;"Íbúðareign";200;78.2
39495;"Íbúðareign";283;137.2
20955;"Íbúðareign";91;89
45000;"Íbúðareign";70;138.7
23754;"Íbúðareign";160;61.4
17711;"Íbúðareign";170;88
39188;"Íbúðareign";100;103.3
25488;"Íbúðareign";100;88.7
21180;"Íbúðareign";120;92.4
21417;"Íbúðareign";20;67.2
44932;"Íbúðareign";180;203.4
29073;"Einbýlishús";20;86
13664;"Íbúðareign";200;55.5
25373;"Íbúðareign";90;74.5
31854;"Íbúðareign";210;126
25550;"Íbúðareign";160;61.4
32175;"Íbúðareign";20;102
24450;"Íbúðareign";270;80
32958;"Íbúðareign";100;142.2
37221;"Íbúðareign";70;111.9
18775;"Íbúðareign";161;92.7
16474;"Íbúðareign";170;94.2
30422;"Íbúðareign";72;116.7
43101;"Einbýlishús";100;184.8
13058;"Íbúðareign";200;51.4
39496;"Íbúðareign";160;104.8
20887;"Íbúðareign";160;61.5
33378;"Íbúðareign";270;127.5
12458;"Íbúðareign";161;50.7
17661;"Íbúðareign";72;67.7
19701;"Íbúðareign";170;98.6
23693;"Íbúðareign";80;69.8
23336;"Íbúðareign";130;92.8
28554;"Íbúðareign";72;99
23075;"Íbúðareign";25;67
43915;"Íbúðareign";70;108.2
29645;"Íbúðareign";130;97.9
17088;"Íbúðareign";100;60
25469;"Íbúðareign";160;102.9
32438;"Íbúðareign";100;100
35966;"Íbúðareign";70;101
25878;"Íbúðareign";80;95.7
26610;"Íbúðareign";80;107.6
16403;"Íbúðareign";72;46.8
20662;"Íbúðareign";11;73
26968;"Íbúðareign";80;104.4
24598;"Íbúðareign";25;71.2
23360;"Íbúðareign";91;95.2
28486;"Íbúðareign";150;89.4
30458;"Íbúðareign";20;85.2
14379;"Íbúðareign";220;52.7
20238;"Íbúðareign";283;79.7
41738;"Einbýlishús";150;184.3
22400;"Íbúðareign";283;95.8
23863;"Íbúðareign";20;72.1
24175;"Íbúðareign";160;61.4
74155;"Einbýlishús";80;177.1
23236;"Íbúðareign";90;75.9
25989;"Íbúðareign";90;75.9
20189;"Íbúðareign";170;95.3
20374;"Íbúðareign";160;72
17056;"Íbúðareign";130;69.8
24498;"Íbúðareign";72;83.4
26854;"Íbúðareign";72;84
29989;"Íbúðareign";70;82.9
15469;"Íbúðareign";100;45.5
23234;"Íbúðareign";160;61.4
25207;"Íbúðareign";220;103.2
22000;"Íbúðareign";25;70.6
47553;"Einbýlishús";20;197.6
38921;"Einbýlishús";120;115.9
22813;"Íbúðareign";130;86
12896;"Íbúðareign";220;74.9
23419;"Íbúðareign";284;81.9
20602;"Íbúðareign";80;77.8
23885;"Íbúðareign";200;84.8
26371;"Íbúðareign";80;84.6
26370;"Íbúðareign";72;77.8
23095;"Íbúðareign";72;70.5
40652;"Íbúðareign";80;188.8
20457;"Íbúðareign";100;92.5
11171;"Íbúðareign";20;45.9
21993;"Íbúðareign";90;79.2
64342;"Íbúðareign";20;128.8
23428;"Íbúðareign";280;81.6
30724;"Íbúðareign";150;104.5
25000;"Íbúðareign";70;81.7
14113;"Íbúðareign";70;57.9
24661;"Íbúðareign";20;72.2
30437;"Íbúðareign";70;89.6
38861;"Einbýlishús";100;179.5
20486;"Íbúðareign";20;64.2
21369;"Íbúðareign";100;80.1
26000;"Íbúðareign";180;101.4
56954;"Íbúðareign";20;154.4
28651;"Íbúðareign";160;83.9
24649;"Íbúðareign";120;99.9
20244;"Íbúðareign";283;63
25998;"Íbúðareign";90;68.8
11461;"Íbúðareign";161;50.7
22979;"Íbúðareign";130;83.2
22213;"Íbúðareign";180;82.4
27946;"Íbúðareign";70;94.5
28042;"Íbúðareign";25;79
26380;"Íbúðareign";20;84.3
21986;"Íbúðareign";80;80.7
16589;"Íbúðareign";90;52.5
48586;"Einbýlishús";170;193.9
24403;"Íbúðareign";20;89
15860;"Íbúðareign";80;47
14730;"Íbúðareign";120;65.5
17386;"Íbúðareign";100;65
37820;"Íbúðareign";220;158.5
33250;"Íbúðareign";90;123.7
19071;"Íbúðareign";160;88.4
20365;"Íbúðareign";130;87.2
21807;"Íbúðareign";20;59.3
23283;"Íbúðareign";20;62
23571;"Íbúðareign";20;62
22167;"Íbúðareign";20;59.3
21927;"Íbúðareign";20;59.3
23452;"Íbúðareign";180;76
13800;"Íbúðareign";283;75.4
25500;"Íbúðareign";100;106.7
22089;"Íbúðareign";25;61.5
41925;"Íbúðareign";20;121.8
18058;"Íbúðareign";160;83.3
28733;"Íbúðareign";280;71.1
40215;"Íbúðareign";91;119.4
13489;"Íbúðareign";170;58.8
53297;"Íbúðareign";20;128.5
44178;"Íbúðareign";70;119.5
21439;"Íbúðareign";90;84.8
17192;"Íbúðareign";120;65.9
38815;"Íbúðareign";72;133.1
